会议主题,分类,时间
标准银行账户,,2024年10月24日 15:12
贝易转汇报,,2024年10月24日 17:31
例会1115,,2024年11月15日 11:25
贝易转例会,,2024年12月20日 10:30
贝易转-惠居研讨准备,,2025年1月16日 16:50
贝易转&北链,,2025年2月17日 11:41
贝易转-北链运营方案,,2025年2月19日 10:28
存管转账运营,,2025年2月20日 10:02
贝易转周会,,2025年2月24日 15:14
贝易转例会,,2025年3月3日 10:03
贝易转例会,,2025年3月10日 09:50
贝易转—微信解决方案,,2025年3月12日 13:55
贝易转周会,,2025年3月17日 09:44
贝易转-北链渗透,,2025年3月21日 11:03
周会,,2025年3月24日 14:34
贝易转-周会,,2025年3月31日 10:50
蚂蚁产品,,2025年4月7日 16:46
北链3月份汇报,,2025年4月9日 11:31
被窝-店总,,2025年4月9日 16:59
贝易转周会,,2025年4月14日 09:49
经营预算,,2025年4月17日 10:16
贝易转周会,,2025年4月21日 10:00
贝易转经营模型,,2025年4月22日 14:01
直联主体讨论,,2025年4月28日 11:06
直联行&直达行APP跳转技术,,2025年5月7日 16:13
贝易转例会,,2025年5月12日 10:03
贝易转例会,,2025年5月13日 10:00
上海链家调研,,2025年5月15日 11:33
链家线下转账升级方案,,2025年5月19日 14:05
例会,,2025年5月21日 10:15
贝易转例会,,2025年5月26日 10:03
单元例会,,2025年5月26日 17:54
白石桥签约中心,客户访谈,2025年6月4日 15:00
年中述职,,2025年7月1日 14:41
2025H2预算,,2025年7月3日 15:05
贝易转设计细化,,2025年7月6日 10:16
贝易转周会,,2025年7月7日 10:01
贝易转公测,,2025年8月1日 11:20
离替招聘,,2025年8月4日 14:24
贝易转会议纪要,,2025年8月18日 17:29
自如沟通,,2025年8月20日 10:11
822-自如李杰电话,,2025年8月22日 14:47
自如接入准备,,2025年8月26日 14:04
自如细化沟通,,2025年8月27日 10:34
自如沟通,,2025年9月3日 11:23
自如沟通,客户访谈,2025年9月5日 14:15
贝易转业务总结,,2025年9月8日 10:00
贝易转例会,,2025年9月8日 10:01
贝易转例会,,2025年9月15日 10:05
贝易转沟通,,2025年10月11日 10:04
微企付调研,竞品分析,2025年10月21日 11:01
内部客户调研,,2025年11月5日 14:46
贝易转网商方案,,2025年11月17日 14:09
自如-运营沟通,,2025年11月24日 14:28
牧原沟通,,2025年12月9日 16:07
自如,,2026年1月12日 10:03
